year,tech_company,employer_benefits,know_options,employer_discussed_benefits,employer_resources,anonymity,difficulty_leave,comfortable_discussing,employer_discussed_issues,physical_importance,mental_importance,industry_support,age,gender,country
2018,TRUE,No,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,7,7,4,22,M,India
2018,TRUE,Yes,Yes,No,Yes,I don't know,Somewhat difficult,No,TRUE,6,5,2,29,F,United States of America
2018,TRUE,No,No,No,No,I don't know,Difficult,No,FALSE,7,1,1,27,F,Saudi Arabia
2018,FALSE,I don't know,No,No,No,I don't know,Somewhat difficult,No,FALSE,6,0,1,32,F,Germany
2018,FALSE,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,8,6,3,28,M,United States of America
2018,TRUE,Yes,No,No,Yes,Yes,Somewhat easy,Yes,TRUE,5,5,3,31,M,United States of America
2018,FALSE,No,No,No,No,No,Difficult,No,FALSE,0,0,1,24,F,Nigeria
2018,FALSE,Yes,Yes,Yes,Yes,Yes,I don't know,No,FALSE,7,6,3,27,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,No,FALSE,10,10,4,36,F,Ireland
2018,TRUE,No,Yes,No,No,No,Difficult,No,FALSE,0,0,1,37,M,United States of America
2018,TRUE,Yes,Yes,No,I don't know,Yes,Very easy,No,FALSE,10,5,2,53,F,United States of America
2018,TRUE,No,N/A,No,No,I don't know,Very easy,Maybe,FALSE,6,5,3,32,M,France
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,No,FALSE,3,1,1,25,NB,United States of America
2018,TRUE,No,N/A,No,I don't know,I don't know,Difficult,Maybe,TRUE,7,4,2,29,F,United States of America
2018,TRUE,Yes,No,No,Yes,Yes,Somewhat difficult,Yes,FALSE,9,9,3,47,M,United States of America
2018,FALSE,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,TRUE,7,2,2,61,M,United States of America
2018,TRUE,Yes,No,No,I don't know,Yes,I don't know,Maybe,FALSE,9,5,4,28,M,United States of America
2018,FALSE,Yes,Yes,Yes,No,Yes,I don't know,Yes,FALSE,8,8,3,31,M,United States of America
2018,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Maybe,FALSE,4,4,2,35,M,Uruguay
2018,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,8,6,4,40,M,United States of America
2018,TRUE,Yes,No,No,I don't know,Yes,Somewhat easy,Yes,FALSE,5,5,2,41,M,United States of America
2018,TRUE,Yes,Yes,No,Yes,I don't know,Difficult,Maybe,FALSE,5,5,3,34,M,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,3,3,3,31,F,United States of America
2018,FALSE,Yes,Yes,No,I don't know,Yes,Very easy,Yes,FALSE,7,7,4,35,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,8,8,2,27,F,United States of America
2018,TRUE,Yes,No,No,Yes,Yes,Somewhat easy,Yes,FALSE,6,8,3,42,F,United States of America
2018,FALSE,Yes,Yes,No,No,Yes,Somewhat easy,No,FALSE,5,2,3,56,M,United States of America
2018,TRUE,Yes,No,No,No,I don't know,Neither easy nor difficult,Maybe,TRUE,3,3,3,27,F,United States of America
2018,TRUE,Yes,No,No,I don't know,Yes,Somewhat difficult,Yes,FALSE,6,6,3,37,F,United Kingdom
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,No,TRUE,9,8,3,30,F,United Kingdom
2018,TRUE,Yes,No,I don't know,I don't know,Yes,Somewhat difficult,Yes,FALSE,7,5,3,39,M,United States of America
2018,TRUE,No,N/A,No,No,I don't know,I don't know,Maybe,FALSE,6,6,3,30,F,United States of America
2018,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,7,7,4,31,M,Netherlands
2018,TRUE,Yes,Yes,No,No,I don't know,I don't know,No,FALSE,8,8,3,46,M,United Kingdom
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,FALSE,9,5,3,45,F,United States of America
2018,FALSE,No,N/A,No,No,I don't know,I don't know,Maybe,FALSE,2,0,1,38,F,United States of America
2018,TRUE,Yes,Yes,Yes,I don't know,I don't know,Very easy,Yes,FALSE,8,8,5,41,M,United States of America
2018,TRUE,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Maybe,TRUE,8,5,3,37,M,United States of America
2018,TRUE,I don't know,No,No,No,Yes,Very easy,No,FALSE,7,7,4,33,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,8,9,3,28,NB,United States of America
2018,TRUE,Yes,Yes,No,No,I don't know,I don't know,Yes,TRUE,3,3,2,29,F,Canada
2018,FALSE,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Yes,FALSE,5,5,3,28,F,United States of America
2018,TRUE,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,FALSE,3,5,2,38,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,FALSE,6,6,3,42,M,United States of America
2018,TRUE,Yes,No,Yes,No,I don't know,Somewhat easy,Maybe,FALSE,3,4,3,28,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,TRUE,8,8,2,30,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,9,9,4,25,F,United Kingdom
2018,TRUE,Yes,Yes,No,Yes,I don't know,Difficult,No,TRUE,4,1,1,44,M,United States of America
2018,FALSE,Yes,No,No,No,I don't know,I don't know,Yes,TRUE,5,0,2,28,NB,United States of America
2018,TRUE,Yes,No,No,I don't know,I don't know,Very easy,Maybe,FALSE,7,5,2,41,F,United States of America
2018,FALSE,Yes,No,No,Yes,I don't know,Somewhat easy,Maybe,FALSE,6,5,3,38,M,United States of America
2018,TRUE,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,FALSE,7,7,3,37,M,United States of America
2018,FALSE,I don't know,N/A,No,I don't know,I don't know,Somewhat difficult,Yes,FALSE,6,5,2,36,M,Japan
2018,FALSE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,FALSE,5,5,3,33,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,6,7,3,35,F,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,TRUE,10,5,3,43,M,United States of America
2018,TRUE,No,N/A,Yes,Yes,Yes,Very easy,Yes,TRUE,8,10,4,34,M,United States of America
2018,TRUE,No,N/A,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,8,8,1,44,F,United States of America
2018,TRUE,Yes,Yes,No,Yes,Yes,Somewhat easy,Yes,TRUE,5,6,3,38,M,United States of America
2018,TRUE,No,N/A,No,No,Yes,Somewhat easy,Maybe,FALSE,6,5,3,55,M,United States of America
2018,TRUE,No,No,No,I don't know,I don't know,Very easy,No,TRUE,10,4,1,25,M,India
2018,FALSE,Yes,Yes,No,I don't know,I don't know,Difficult,No,FALSE,3,0,2,37,M,United States of America
2018,TRUE,Yes,No,Yes,Yes,I don't know,Very easy,Maybe,FALSE,7,7,3,39,M,United States of America
2018,TRUE,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,FALSE,7,7,2,23,M,United States of America
2018,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,TRUE,7,7,3,43,M,United States of America
2018,FALSE,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Yes,TRUE,8,6,3,29,M,United States of America
2018,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Yes,FALSE,5,4,3,25,M,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,Very easy,Maybe,TRUE,2,5,3,36,M ,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,Very easy,Yes,FALSE,5,3,3,33,M,United States of America
2018,TRUE,Yes,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,5,5,3,34,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,8,7,2,28,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,FALSE,10,10,2,54,NB,United States of America
2018,FALSE,I don't know,No,No,No,I don't know,I don't know,Yes,FALSE,6,5,2,39,M,United States of America
2018,FALSE,Yes,Yes,No,Yes,Yes,Somewhat difficult,No,TRUE,6,4,2,37,M,United States of America
2018,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,FALSE,5,5,1,29,M,United States of America
2018,TRUE,I don't know,No,No,Yes,I don't know,Very easy,Yes,FALSE,5,5,3,31,M,United States of America
2018,TRUE,Yes,Yes,Yes,I don't know,Yes,Very easy,Yes,TRUE,7,7,2,49,M,United States of America
2018,TRUE,Yes,No,I don't know,I don't know,Yes,Very easy,Maybe,FALSE,5,5,2,43,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,8,7,4,38,NB,United States of America
2018,TRUE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Maybe,FALSE,4,3,4,35,F,United States of America
2018,TRUE,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,FALSE,5,2,3,23,M,United States of America
2018,TRUE,I don't know,No,No,I don't know,Yes,Very easy,Yes,FALSE,7,7,3,42,M,United Kingdom
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,6,5,4,36,M,United States of America
2018,TRUE,Yes,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,6,5,3,38,M,United States of America
2018,TRUE,I don't know,No,No,Yes,I don't know,I don't know,Maybe,FALSE,5,5,1,41,M,United Kingdom
2018,TRUE,Yes,Yes,I don't know,I don't know,Yes,Neither easy nor difficult,Yes,TRUE,8,6,2,37,F,United States of America
2018,TRUE,I don't know,No,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,8,10,4,25,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,9,7,3,33,M,United States of America
2018,TRUE,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,Yes,FALSE,7,6,3,35,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,No,TRUE,5,5,4,32,F,United States of America
2018,TRUE,No,No,Yes,No,I don't know,Difficult,No,FALSE,10,6,3,25,F ,Poland
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,TRUE,7,7,3,40,F,United States of America
2018,TRUE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Maybe,FALSE,7,6,4,34,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,4,3,2,28,M,United States of America
2018,TRUE,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,No,TRUE,9,3,2,49,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,5,7,3,33,F,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,Very easy,No,FALSE,5,7,4,36,M,United States of America
2018,TRUE,No,N/A,No,Yes,No,Difficult,Maybe,TRUE,8,2,2,37,M,United States of America
2018,TRUE,I don't know,No,No,I don't know,I don't know,Difficult,Maybe,FALSE,0,3,2,39,M,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,No,FALSE,4,2,2,49,F,United States of America
2018,TRUE,I don't know,No,Yes,Yes,I don't know,I don't know,Yes,FALSE,7,7,3,33,M,United States of America
2018,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Maybe,FALSE,6,5,2,29,NB,United Kingdom
2018,TRUE,I don't know,No,Yes,I don't know,I don't know,Very easy,Yes,TRUE,5,8,4,29,M,United Kingdom
2018,TRUE,Yes,No,No,No,I don't know,I don't know,Maybe,FALSE,3,4,3,25,M,United States of America
2018,FALSE,I don't know,No,No,I don't know,I don't know,Difficult,No,FALSE,2,1,2,35,M,United States of America
2018,TRUE,Yes,Yes,No,Yes,I don't know,I don't know,Yes,FALSE,10,10,4,21,M,United States of America
2018,TRUE,Yes,No,No,No,Yes,Very easy,Yes,FALSE,0,0,5,43,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,5,5,2,31,F,United States of America
2018,TRUE,I don't know,No,Yes,Yes,I don't know,I don't know,Maybe,FALSE,6,5,2,27,F,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,No,FALSE,0,0,5,23,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,No,TRUE,5,3,3,28,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,No,FALSE,5,3,2,37,F,United States of America
2018,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,FALSE,5,5,3,30,M,United States of America
2018,TRUE,Yes,Yes,No,Yes,I don't know,I don't know,No,FALSE,1,3,1,30,M,United States of America
2018,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,TRUE,6,2,1,30,F,United States of America
2018,FALSE,No,No,No,I don't know,I don't know,Difficult,No,FALSE,1,0,1,35,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,FALSE,8,6,1,45,F,United States of America
2018,TRUE,No,Yes,No,No,I don't know,Difficult,No,FALSE,7,6,2,31,F,Germany
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,FALSE,6,8,3,34,F,United States of America
2018,TRUE,No,No,No,No,I don't know,Difficult,No,TRUE,0,0,2,30,M,United States of America
2018,TRUE,Yes,Yes,No,No,I don't know,Somewhat easy,No,TRUE,7,2,2,33,NB,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,FALSE,7,7,3,32,M,United States of America
2018,FALSE,I don't know,No,No,Yes,I don't know,I don't know,No,FALSE,9,3,2,28,F,United States of America
2018,TRUE,No,Yes,No,No,I don't know,Somewhat easy,No,TRUE,5,2,1,28,M,United States of America
2018,TRUE,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,No,FALSE,7,4,2,33,M,United States of America
2018,TRUE,Yes,Yes,Yes,No,Yes,Very easy,No,TRUE,7,6,3,28,F,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,I don't know,Maybe,TRUE,5,0,1,28,F,United States of America
2018,TRUE,I don't know,No,No,I don't know,No,Somewhat easy,Yes,FALSE,8,3,2,43,M,United States of America
2018,TRUE,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Yes,FALSE,5,5,3,31,F,United States of America
2018,FALSE,Yes,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,FALSE,6,6,3,40,F,United States of America
2018,FALSE,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,FALSE,7,4,2,42,F,United States of America
2018,TRUE,Yes,No,I don't know,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,7,6,3,38,M,United States of America
2018,TRUE,I don't know,Yes,No,No,Yes,Very easy,Yes,TRUE,7,8,3,39,M,United States of America
2018,FALSE,No,No,No,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,10,8,1,21,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,TRUE,8,8,4,32,F ,United States of America
2018,TRUE,No,Yes,No,No,I don't know,I don't know,Maybe,TRUE,2,2,3,32,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,7,6,2,40,M ,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,I don't know,No,FALSE,3,0,3,28,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Yes,TRUE,3,6,2,25,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,No,FALSE,5,5,4,37,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,6,8,3,40,NB,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,7,3,3,31,F,United States of America
2018,TRUE,Yes,No,No,No,I don't know,Somewhat easy,No,TRUE,6,5,2,26,NB,United States of America
2018,FALSE,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,FALSE,6,5,3,27,F,United States of America
2018,TRUE,I don't know,Yes,No,No,No,Neither easy nor difficult,No,FALSE,5,5,1,46,M,Norway
2018,TRUE,Yes,Yes,I don't know,No,I don't know,I don't know,Maybe,FALSE,6,5,2,22,F ,United States of America
2018,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Maybe,FALSE,5,5,3,37,F,Ireland
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,I don't know,No,TRUE,3,3,1,27,M,United States of America
2018,FALSE,Yes,No,No,I don't know,I don't know,I don't know,Maybe,FALSE,2,5,3,28,F,United States of America
2018,TRUE,Yes,Yes,Yes,No,Yes,Somewhat easy,No,FALSE,7,4,2,32,F,United States of America
2018,TRUE,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,FALSE,7,5,2,33,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,TRUE,9,7,4,27,F,United States of America
2018,TRUE,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Yes,FALSE,8,7,2,38,F,United States of America
2018,TRUE,Yes,No,No,No,Yes,Very easy,Yes,TRUE,6,6,3,28,F,United States of America
2018,FALSE,Yes,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,FALSE,2,1,1,32,F,United States of America
2018,FALSE,No,No,No,No,Yes,Very easy,Yes,FALSE,8,3,3,30,F,United States of America
2018,TRUE,Yes,Yes,No,No,I don't know,I don't know,No,FALSE,8,4,2,26,F,United States of America
2018,FALSE,I don't know,No,Yes,Yes,I don't know,I don't know,No,FALSE,7,7,3,41,F,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,FALSE,8,5,2,39,F,United States of America
2018,TRUE,Yes,No,No,I don't know,I don't know,I don't know,Maybe,FALSE,5,3,3,37,M,United States of America
2018,FALSE,No,N/A,I don't know,Yes,Yes,I don't know,No,FALSE,8,5,3,21,F,United States of America
2018,FALSE,Yes,Yes,No,No,I don't know,Somewhat easy,No,FALSE,6,3,1,35,F ,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,TRUE,3,2,3,33,F,Switzerland
2018,TRUE,Yes,No,No,I don't know,Yes,Somewhat easy,No,FALSE,6,6,2,38,M ,Netherlands
2018,TRUE,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,5,5,3,29,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,7,7,4,25,F,United States of America
